addr          name                           size  callers
0050:32cc     FUN_0050_32cc                    13  FUN_0050_2af9,FUN_0050_2bb5,FUN_0050_2dda,FUN_0050_3760,FUN_0050_3907,FUN_0050_3939,FUN_0050_3bf7,FUN_0050_48d9,FUN_0050_4daa,FUN_0050_5292
0050:32da     FUN_0050_32da                    29  FUN_0050_2af9,FUN_0050_2dda,FUN_0050_2e09,FUN_0050_30b2,FUN_0050_3760,FUN_0050_3907,FUN_0050_3939,FUN_0050_451b,FUN_0050_47cd,FUN_0050_4820
0050:3334     FUN_0050_3334                    19  FUN_0050_2af9,FUN_0050_3760,FUN_0050_3907,FUN_0050_47cd,FUN_0050_53b5,FUN_0050_557e,FUN_0050_587e
0050:3347     FUN_0050_3347                    17  FUN_0050_3358
0050:3358     FUN_0050_3358                    33  FUN_0050_45d9
0050:33a4     FUN_0050_33a4                    17  FUN_0050_4271,FUN_0050_5849
0050:33be     FUN_0050_33be                    29  FUN_0050_3f58
0050:33ee     FUN_0050_33ee                    17  FUN_0050_33ff
0050:33ff     FUN_0050_33ff                     8  FUN_0050_3f58,FUN_0050_451b,FUN_0050_4ed7,FUN_0050_50f7
0050:3408     FUN_0050_3408                    29  FUN_0050_4ed7,FUN_0050_50f7
0050:3425     FUN_0050_3425                    19  FUN_0050_3f58,FUN_0050_4ed7
0050:3462     FUN_0050_3462                    14  FUN_0050_4271,FUN_0050_5849
0050:347e     FUN_0050_347e                    18  FUN_0050_3462,FUN_0050_3490
0050:3490     FUN_0050_3490                     4  FUN_0050_f6f0,thunk_FUN_0050_3490
0050:34dd     FUN_0050_34dd                    15  FUN_0050_2bb5,FUN_0050_30b2,FUN_0050_47cd,FUN_0050_587e
0050:350a     FUN_0050_350a                    15  FUN_0050_3f58
0050:3528     FUN_0050_3528                     7  FUN_0050_352f
0050:352f     FUN_0050_352f                    79  FUN_0050_34dd,FUN_0050_350a
0050:357e     FUN_0050_357e                    21  FUN_0050_07d2,FUN_0050_07e9,FUN_0050_2db8,FUN_0050_3593
0050:3593     FUN_0050_3593                   121  FUN_0050_2e30
0050:360c     FUN_0050_360c                   111  FUN_0050_3593
0050:367b     FUN_0050_367b                     8  FUN_0050_e9d7
0050:3683     FUN_0050_3683                    85  FUN_0050_3593
0050:36e5     FUN_0050_36e5                   105  FUN_0050_0080
0050:3756     thunk_FUN_0050_2c3d               3  FUN_0050_3bf7
0050:3759     thunk_FUN_0050_2c3e               2  FUN_0050_3760
